,type,name,salary,score,contract,include,exclude,locked,points,i
26,team,Williams,13.2,90,,1.0,,False,852,99390
1,driver,Norris,28.6,155,,1.0,,False,852,99390
2,driver,Leclerc,27.2,144,,,,False,852,99390
3,driver,Hamilton,25.8,140,,,,False,852,99390
4,driver,Piastri,24.4,131,,,,False,852,99390
11,driver,Sainz,14.6,192,,1.0,,False,852,99390
26,team,Williams,13.2,90,,1.0,,False,852,98924
1,driver,Norris,28.6,155,,1.0,,False,852,98924
2,driver,Leclerc,27.2,144,,,,False,852,98924
3,driver,Hamilton,25.8,140,,,,False,852,98924
4,driver,Piastri,24.4,131,,,,False,852,98924
11,driver,Sainz,14.6,192,,1.0,,False,852,98924
26,team,Williams,13.2,90,,1.0,,False,852,97527
1,driver,Norris,28.6,155,,1.0,,False,852,97527
2,driver,Leclerc,27.2,144,,,,False,852,97527
3,driver,Hamilton,25.8,140,,,,False,852,97527
4,driver,Piastri,24.4,131,,,,False,852,97527
11,driver,Sainz,14.6,192,,1.0,,False,852,97527
26,team,Williams,13.2,90,,1.0,,False,852,96494
1,driver,Norris,28.6,155,,1.0,,False,852,96494
2,driver,Leclerc,27.2,144,,,,False,852,96494
3,driver,Hamilton,25.8,140,,,,False,852,96494
4,driver,Piastri,24.4,131,,,,False,852,96494
11,driver,Sainz,14.6,192,,1.0,,False,852,96494
26,team,Williams,13.2,90,,1.0,,False,852,95952
1,driver,Norris,28.6,155,,1.0,,False,852,95952
2,driver,Leclerc,27.2,144,,,,False,852,95952
3,driver,Hamilton,25.8,140,,,,False,852,95952
4,driver,Piastri,24.4,131,,,,False,852,95952
11,driver,Sainz,14.6,192,,1.0,,False,852,95952
26,team,Williams,13.2,90,,1.0,,False,852,95901
1,driver,Norris,28.6,155,,1.0,,False,852,95901
2,driver,Leclerc,27.2,144,,,,False,852,95901
3,driver,Hamilton,25.8,140,,,,False,852,95901
4,driver,Piastri,24.4,131,,,,False,852,95901
11,driver,Sainz,14.6,192,,1.0,,False,852,95901
26,team,Williams,13.2,90,,1.0,,False,852,95876
1,driver,Norris,28.6,155,,1.0,,False,852,95876
2,driver,Leclerc,27.2,144,,,,False,852,95876
3,driver,Hamilton,25.8,140,,,,False,852,95876
4,driver,Piastri,24.4,131,,,,False,852,95876
11,driver,Sainz,14.6,192,,1.0,,False,852,95876
26,team,Williams,13.2,90,,1.0,,False,852,94795
1,driver,Norris,28.6,155,,1.0,,False,852,94795
2,driver,Leclerc,27.2,144,,,,False,852,94795
3,driver,Hamilton,25.8,140,,,,False,852,94795
4,driver,Piastri,24.4,131,,,,False,852,94795
11,driver,Sainz,14.6,192,,1.0,,False,852,94795
26,team,Williams,13.2,90,,1.0,,False,852,94765
1,driver,Norris,28.6,155,,1.0,,False,852,94765
2,driver,Leclerc,27.2,144,,,,False,852,94765
3,driver,Hamilton,25.8,140,,,,False,852,94765
4,driver,Piastri,24.4,131,,,,False,852,94765
11,driver,Sainz,14.6,192,,1.0,,False,852,94765
26,team,Williams,13.2,90,,1.0,,False,852,94581
1,driver,Norris,28.6,155,,1.0,,False,852,94581
2,driver,Leclerc,27.2,144,,,,False,852,94581
3,driver,Hamilton,25.8,140,,,,False,852,94581
4,driver,Piastri,24.4,131,,,,False,852,94581
11,driver,Sainz,14.6,192,,1.0,,False,852,94581
26,team,Williams,13.2,90,,1.0,,False,852,93914
1,driver,Norris,28.6,155,,1.0,,False,852,93914
2,driver,Leclerc,27.2,144,,,,False,852,93914
3,driver,Hamilton,25.8,140,,,,False,852,93914
4,driver,Piastri,24.4,131,,,,False,852,93914
11,driver,Sainz,14.6,192,,1.0,,False,852,93914
26,team,Williams,13.2,90,,1.0,,False,852,93544
1,driver,Norris,28.6,155,,1.0,,False,852,93544
2,driver,Leclerc,27.2,144,,,,False,852,93544
3,driver,Hamilton,25.8,140,,,,False,852,93544
4,driver,Piastri,24.4,131,,,,False,852,93544
11,driver,Sainz,14.6,192,,1.0,,False,852,93544
26,team,Williams,13.2,90,,1.0,,False,852,93159
1,driver,Norris,28.6,155,,1.0,,False,852,93159
2,driver,Leclerc,27.2,144,,,,False,852,93159
3,driver,Hamilton,25.8,140,,,,False,852,93159
4,driver,Piastri,24.4,131,,,,False,852,93159
11,driver,Sainz,14.6,192,,1.0,,False,852,93159
26,team,Williams,13.2,90,,1.0,,False,852,93072
