,type,name,salary,score,contract,include,exclude,locked,points,i
26,team,Williams,13.2,90,,1.0,,False,852,9803
1,driver,Norris,28.6,155,,1.0,,False,852,9803
2,driver,Leclerc,27.2,144,,,,False,852,9803
3,driver,Hamilton,25.8,140,,,,False,852,9803
4,driver,Piastri,24.4,131,,,,False,852,9803
11,driver,Sainz,14.6,192,,1.0,,False,852,9803
26,team,Williams,13.2,90,,1.0,,False,852,9750
1,driver,Norris,28.6,155,,1.0,,False,852,9750
2,driver,Leclerc,27.2,144,,,,False,852,9750
3,driver,Hamilton,25.8,140,,,,False,852,9750
4,driver,Piastri,24.4,131,,,,False,852,9750
11,driver,Sainz,14.6,192,,1.0,,False,852,9750
26,team,Williams,13.2,90,,1.0,,False,852,9444
1,driver,Norris,28.6,155,,1.0,,False,852,9444
2,driver,Leclerc,27.2,144,,,,False,852,9444
3,driver,Hamilton,25.8,140,,,,False,852,9444
4,driver,Piastri,24.4,131,,,,False,852,9444
11,driver,Sainz,14.6,192,,1.0,,False,852,9444
26,team,Williams,13.2,90,,1.0,,False,852,8229
1,driver,Norris,28.6,155,,1.0,,False,852,8229
2,driver,Leclerc,27.2,144,,,,False,852,8229
3,driver,Hamilton,25.8,140,,,,False,852,8229
4,driver,Piastri,24.4,131,,,,False,852,8229
11,driver,Sainz,14.6,192,,1.0,,False,852,8229
26,team,Williams,13.2,90,,1.0,,False,852,8206
1,driver,Norris,28.6,155,,1.0,,False,852,8206
2,driver,Leclerc,27.2,144,,,,False,852,8206
3,driver,Hamilton,25.8,140,,,,False,852,8206
4,driver,Piastri,24.4,131,,,,False,852,8206
11,driver,Sainz,14.6,192,,1.0,,False,852,8206
26,team,Williams,13.2,90,,1.0,,False,852,7809
1,driver,Norris,28.6,155,,1.0,,False,852,7809
2,driver,Leclerc,27.2,144,,,,False,852,7809
3,driver,Hamilton,25.8,140,,,,False,852,7809
4,driver,Piastri,24.4,131,,,,False,852,7809
11,driver,Sainz,14.6,192,,1.0,,False,852,7809
26,team,Williams,13.2,90,,1.0,,False,852,7484
1,driver,Norris,28.6,155,,1.0,,False,852,7484
2,driver,Leclerc,27.2,144,,,,False,852,7484
3,driver,Hamilton,25.8,140,,,,False,852,7484
4,driver,Piastri,24.4,131,,,,False,852,7484
11,driver,Sainz,14.6,192,,1.0,,False,852,7484
26,team,Williams,13.2,90,,1.0,,False,852,6652
1,driver,Norris,28.6,155,,1.0,,False,852,6652
2,driver,Leclerc,27.2,144,,,,False,852,6652
3,driver,Hamilton,25.8,140,,,,False,852,6652
4,driver,Piastri,24.4,131,,,,False,852,6652
11,driver,Sainz,14.6,192,,1.0,,False,852,6652
26,team,Williams,13.2,90,,1.0,,False,852,6409
1,driver,Norris,28.6,155,,1.0,,False,852,6409
2,driver,Leclerc,27.2,144,,,,False,852,6409
3,driver,Hamilton,25.8,140,,,,False,852,6409
4,driver,Piastri,24.4,131,,,,False,852,6409
11,driver,Sainz,14.6,192,,1.0,,False,852,6409
26,team,Williams,13.2,90,,1.0,,False,852,6301
1,driver,Norris,28.6,155,,1.0,,False,852,6301
2,driver,Leclerc,27.2,144,,,,False,852,6301
3,driver,Hamilton,25.8,140,,,,False,852,6301
4,driver,Piastri,24.4,131,,,,False,852,6301
11,driver,Sainz,14.6,192,,1.0,,False,852,6301
26,team,Williams,13.2,90,,1.0,,False,852,6235
1,driver,Norris,28.6,155,,1.0,,False,852,6235
2,driver,Leclerc,27.2,144,,,,False,852,6235
3,driver,Hamilton,25.8,140,,,,False,852,6235
4,driver,Piastri,24.4,131,,,,False,852,6235
11,driver,Sainz,14.6,192,,1.0,,False,852,6235
26,team,Williams,13.2,90,,1.0,,False,852,5390
1,driver,Norris,28.6,155,,1.0,,False,852,5390
2,driver,Leclerc,27.2,144,,,,False,852,5390
3,driver,Hamilton,25.8,140,,,,False,852,5390
4,driver,Piastri,24.4,131,,,,False,852,5390
11,driver,Sainz,14.6,192,,1.0,,False,852,5390
26,team,Williams,13.2,90,,1.0,,False,852,3309
1,driver,Norris,28.6,155,,1.0,,False,852,3309
2,driver,Leclerc,27.2,144,,,,False,852,3309
3,driver,Hamilton,25.8,140,,,,False,852,3309
4,driver,Piastri,24.4,131,,,,False,852,3309
11,driver,Sainz,14.6,192,,1.0,,False,852,3309
26,team,Williams,13.2,90,,1.0,,False,852,3102
1,driver,Norris,28.6,155,,1.0,,False,852,3102
2,driver,Leclerc,27.2,144,,,,False,852,3102
3,driver,Hamilton,25.8,140,,,,False,852,3102
4,driver,Piastri,24.4,131,,,,False,852,3102
11,driver,Sainz,14.6,192,,1.0,,False,852,3102
26,team,Williams,13.2,90,,1.0,,False,852,880
1,driver,Norris,28.6,155,,1.0,,False,852,880
2,driver,Leclerc,27.2,144,,,,False,852,880
3,driver,Hamilton,25.8,140,,,,False,852,880
4,driver,Piastri,24.4,131,,,,False,852,880
11,driver,Sainz,14.6,192,,1.0,,False,852,880
26,team,Williams,13.2,90,,1.0,,False,852,143
1,driver,Norris,28.6,155,,1.0,,False,852,143
2,driver,Leclerc,27.2,144,,,,False,852,143
3,driver,Hamilton,25.8,140,,,,False,852,143
4,driver,Piastri,24.4,131,,,,False,852,143
11,driver,Sainz,14.6,192,,1.0,,False,852,143
26,team,Williams,13.2,90,,1.0,,False,850,9745
1,driver,Norris,28.6,155,,1.0,,False,850,9745
2,driver,Leclerc,27.2,144,,,,False,850,9745
3,driver,Hamilton,25.8,140,,,,False,850,9745
5,driver,Russell,23.0,129,,,,False,850,9745
11,driver,Sainz,14.6,192,,1.0,,False,850,9745
26,team,Williams,13.2,90,,1.0,,False,850,9554
1,driver,Norris,28.6,155,,1.0,,False,850,9554
2,driver,Leclerc,27.2,144,,,,False,850,9554
3,driver,Hamilton,25.8,140,,,,False,850,9554
5,driver,Russell,23.0,129,,,,False,850,9554
11,driver,Sainz,14.6,192,,1.0,,False,850,9554
26,team,Williams,13.2,90,,1.0,,False,850,9437
1,driver,Norris,28.6,155,,1.0,,False,850,9437
2,driver,Leclerc,27.2,144,,,,False,850,9437
3,driver,Hamilton,25.8,140,,,,False,850,9437
5,driver,Russell,23.0,129,,,,False,850,9437
11,driver,Sainz,14.6,192,,1.0,,False,850,9437
26,team,Williams,13.2,90,,1.0,,False,850,8613
1,driver,Norris,28.6,155,,1.0,,False,850,8613
2,driver,Leclerc,27.2,144,,,,False,850,8613
3,driver,Hamilton,25.8,140,,,,False,850,8613
5,driver,Russell,23.0,129,,,,False,850,8613
11,driver,Sainz,14.6,192,,1.0,,False,850,8613
26,team,Williams,13.2,90,,1.0,,False,850,8298
1,driver,Norris,28.6,155,,1.0,,False,850,8298
2,driver,Leclerc,27.2,144,,,,False,850,8298
3,driver,Hamilton,25.8,140,,,,False,850,8298
5,driver,Russell,23.0,129,,,,False,850,8298
11,driver,Sainz,14.6,192,,1.0,,False,850,8298
