,type,name,salary,score,contract,include,exclude,locked,points,i
20,team,McLaren,30.0,160,,,,False,922,6635
1,driver,Norris,28.6,155,,1.0,,False,922,6635
2,driver,Leclerc,27.2,144,,,,False,922,6635
3,driver,Hamilton,25.8,140,,,,False,922,6635
4,driver,Piastri,24.4,131,,,,False,922,6635
11,driver,Sainz,14.6,192,,1.0,,False,922,6635
1,driver,Norris,28.6,155,,1.0,,False,922,1502
2,driver,Leclerc,27.2,144,,,,False,922,1502
21,team,Ferrari,27.2,160,,,,False,922,1502
3,driver,Hamilton,25.8,140,,,,False,922,1502
4,driver,Piastri,24.4,131,,,,False,922,1502
11,driver,Sainz,14.6,192,,1.0,,False,922,1502
1,driver,Norris,28.6,155,,1.0,,False,920,9682
2,driver,Leclerc,27.2,144,,,,False,920,9682
21,team,Ferrari,27.2,160,,,,False,920,9682
3,driver,Hamilton,25.8,140,,,,False,920,9682
5,driver,Russell,23.0,129,,,,False,920,9682
11,driver,Sainz,14.6,192,,1.0,,False,920,9682
1,driver,Norris,28.6,155,,1.0,,False,920,7656
2,driver,Leclerc,27.2,144,,,,False,920,7656
21,team,Ferrari,27.2,160,,,,False,920,7656
3,driver,Hamilton,25.8,140,,,,False,920,7656
5,driver,Russell,23.0,129,,,,False,920,7656
11,driver,Sainz,14.6,192,,1.0,,False,920,7656
1,driver,Norris,28.6,155,,1.0,,False,920,6499
2,driver,Leclerc,27.2,144,,,,False,920,6499
21,team,Ferrari,27.2,160,,,,False,920,6499
3,driver,Hamilton,25.8,140,,,,False,920,6499
5,driver,Russell,23.0,129,,,,False,920,6499
11,driver,Sainz,14.6,192,,1.0,,False,920,6499
20,team,McLaren,30.0,160,,,,False,920,3074
1,driver,Norris,28.6,155,,1.0,,False,920,3074
2,driver,Leclerc,27.2,144,,,,False,920,3074
3,driver,Hamilton,25.8,140,,,,False,920,3074
5,driver,Russell,23.0,129,,,,False,920,3074
11,driver,Sainz,14.6,192,,1.0,,False,920,3074
1,driver,Norris,28.6,155,,1.0,,False,911,9940
2,driver,Leclerc,27.2,144,,,,False,911,9940
21,team,Ferrari,27.2,160,,,,False,911,9940
3,driver,Hamilton,25.8,140,,,,False,911,9940
7,driver,Antonelli,20.2,120,,,,False,911,9940
11,driver,Sainz,14.6,192,,1.0,,False,911,9940
20,team,McLaren,30.0,160,,,,False,911,8244
1,driver,Norris,28.6,155,,1.0,,False,911,8244
2,driver,Leclerc,27.2,144,,,,False,911,8244
4,driver,Piastri,24.4,131,,,,False,911,8244
5,driver,Russell,23.0,129,,,,False,911,8244
