,type,name,salary,score,contract,include,exclude,locked,points,i
1,driver,Norris,28.6,155,,1.0,,False,852,95050
2,driver,Leclerc,27.2,144,,,,False,852,95050
3,driver,Hamilton,25.8,140,,,,False,852,95050
4,driver,Piastri,24.4,131,,,,False,852,95050
11,driver,Sainz,14.6,192,,1.0,,False,852,95050
26,team,Williams,13.2,90,,1.0,,False,852,95050
1,driver,Norris,28.6,155,,1.0,,False,852,94968
2,driver,Leclerc,27.2,144,,,,False,852,94968
3,driver,Hamilton,25.8,140,,,,False,852,94968
4,driver,Piastri,24.4,131,,,,False,852,94968
11,driver,Sainz,14.6,192,,1.0,,False,852,94968
26,team,Williams,13.2,90,,1.0,,False,852,94968
1,driver,Norris,28.6,155,,1.0,,False,852,94931
2,driver,Leclerc,27.2,144,,,,False,852,94931
3,driver,Hamilton,25.8,140,,,,False,852,94931
4,driver,Piastri,24.4,131,,,,False,852,94931
11,driver,Sainz,14.6,192,,1.0,,False,852,94931
26,team,Williams,13.2,90,,1.0,,False,852,94931
1,driver,Norris,28.6,155,,1.0,,False,852,94778
2,driver,Leclerc,27.2,144,,,,False,852,94778
3,driver,Hamilton,25.8,140,,,,False,852,94778
4,driver,Piastri,24.4,131,,,,False,852,94778
11,driver,Sainz,14.6,192,,1.0,,False,852,94778
26,team,Williams,13.2,90,,1.0,,False,852,94778
1,driver,Norris,28.6,155,,1.0,,False,852,94590
2,driver,Leclerc,27.2,144,,,,False,852,94590
3,driver,Hamilton,25.8,140,,,,False,852,94590
4,driver,Piastri,24.4,131,,,,False,852,94590
11,driver,Sainz,14.6,192,,1.0,,False,852,94590
26,team,Williams,13.2,90,,1.0,,False,852,94590
1,driver,Norris,28.6,155,,1.0,,False,852,93742
2,driver,Leclerc,27.2,144,,,,False,852,93742
3,driver,Hamilton,25.8,140,,,,False,852,93742
4,driver,Piastri,24.4,131,,,,False,852,93742
11,driver,Sainz,14.6,192,,1.0,,False,852,93742
26,team,Williams,13.2,90,,1.0,,False,852,93742
1,driver,Norris,28.6,155,,1.0,,False,852,93686
2,driver,Leclerc,27.2,144,,,,False,852,93686
3,driver,Hamilton,25.8,140,,,,False,852,93686
4,driver,Piastri,24.4,131,,,,False,852,93686
11,driver,Sainz,14.6,192,,1.0,,False,852,93686
26,team,Williams,13.2,90,,1.0,,False,852,93686
1,driver,Norris,28.6,155,,1.0,,False,852,93623
2,driver,Leclerc,27.2,144,,,,False,852,93623
3,driver,Hamilton,25.8,140,,,,False,852,93623
4,driver,Piastri,24.4,131,,,,False,852,93623
11,driver,Sainz,14.6,192,,1.0,,False,852,93623
26,team,Williams,13.2,90,,1.0,,False,852,93623
1,driver,Norris,28.6,155,,1.0,,False,852,92504
2,driver,Leclerc,27.2,144,,,,False,852,92504
3,driver,Hamilton,25.8,140,,,,False,852,92504
4,driver,Piastri,24.4,131,,,,False,852,92504
11,driver,Sainz,14.6,192,,1.0,,False,852,92504
26,team,Williams,13.2,90,,1.0,,False,852,92504
1,driver,Norris,28.6,155,,1.0,,False,852,91898
2,driver,Leclerc,27.2,144,,,,False,852,91898
3,driver,Hamilton,25.8,140,,,,False,852,91898
4,driver,Piastri,24.4,131,,,,False,852,91898
11,driver,Sainz,14.6,192,,1.0,,False,852,91898
26,team,Williams,13.2,90,,1.0,,False,852,91898
1,driver,Norris,28.6,155,,1.0,,False,852,91318
2,driver,Leclerc,27.2,144,,,,False,852,91318
3,driver,Hamilton,25.8,140,,,,False,852,91318
4,driver,Piastri,24.4,131,,,,False,852,91318
11,driver,Sainz,14.6,192,,1.0,,False,852,91318
26,team,Williams,13.2,90,,1.0,,False,852,91318
1,driver,Norris,28.6,155,,1.0,,False,852,90882
2,driver,Leclerc,27.2,144,,,,False,852,90882
3,driver,Hamilton,25.8,140,,,,False,852,90882
4,driver,Piastri,24.4,131,,,,False,852,90882
11,driver,Sainz,14.6,192,,1.0,,False,852,90882
26,team,Williams,13.2,90,,1.0,,False,852,90882
1,driver,Norris,28.6,155,,1.0,,False,852,90778
2,driver,Leclerc,27.2,144,,,,False,852,90778
3,driver,Hamilton,25.8,140,,,,False,852,90778
4,driver,Piastri,24.4,131,,,,False,852,90778
11,driver,Sainz,14.6,192,,1.0,,False,852,90778
26,team,Williams,13.2,90,,1.0,,False,852,90778
1,driver,Norris,28.6,155,,1.0,,False,852,90439
2,driver,Leclerc,27.2,144,,,,False,852,90439
3,driver,Hamilton,25.8,140,,,,False,852,90439
4,driver,Piastri,24.4,131,,,,False,852,90439
11,driver,Sainz,14.6,192,,1.0,,False,852,90439
26,team,Williams,13.2,90,,1.0,,False,852,90439
1,driver,Norris,28.6,155,,1.0,,False,852,89165
2,driver,Leclerc,27.2,144,,,,False,852,89165
3,driver,Hamilton,25.8,140,,,,False,852,89165
4,driver,Piastri,24.4,131,,,,False,852,89165
11,driver,Sainz,14.6,192,,1.0,,False,852,89165
26,team,Williams,13.2,90,,1.0,,False,852,89165
1,driver,Norris,28.6,155,,1.0,,False,852,89076
2,driver,Leclerc,27.2,144,,,,False,852,89076
3,driver,Hamilton,25.8,140,,,,False,852,89076
4,driver,Piastri,24.4,131,,,,False,852,89076
11,driver,Sainz,14.6,192,,1.0,,False,852,89076
26,team,Williams,13.2,90,,1.0,,False,852,89076
1,driver,Norris,28.6,155,,1.0,,False,852,88419
2,driver,Leclerc,27.2,144,,,,False,852,88419
3,driver,Hamilton,25.8,140,,,,False,852,88419
4,driver,Piastri,24.4,131,,,,False,852,88419
11,driver,Sainz,14.6,192,,1.0,,False,852,88419
26,team,Williams,13.2,90,,1.0,,False,852,88419
1,driver,Norris,28.6,155,,1.0,,False,852,87055
2,driver,Leclerc,27.2,144,,,,False,852,87055
3,driver,Hamilton,25.8,140,,,,False,852,87055
4,driver,Piastri,24.4,131,,,,False,852,87055
11,driver,Sainz,14.6,192,,1.0,,False,852,87055
26,team,Williams,13.2,90,,1.0,,False,852,87055
1,driver,Norris,28.6,155,,1.0,,False,852,86662
2,driver,Leclerc,27.2,144,,,,False,852,86662
3,driver,Hamilton,25.8,140,,,,False,852,86662
4,driver,Piastri,24.4,131,,,,False,852,86662
11,driver,Sainz,14.6,192,,1.0,,False,852,86662
26,team,Williams,13.2,90,,1.0,,False,852,86662
1,driver,Norris,28.6,155,,1.0,,False,852,86209
2,driver,Leclerc,27.2,144,,,,False,852,86209
3,driver,Hamilton,25.8,140,,,,False,852,86209
4,driver,Piastri,24.4,131,,,,False,852,86209
11,driver,Sainz,14.6,192,,1.0,,False,852,86209
26,team,Williams,13.2,90,,1.0,,False,852,86209
1,driver,Norris,28.6,155,,1.0,,False,852,86065
2,driver,Leclerc,27.2,144,,,,False,852,86065
3,driver,Hamilton,25.8,140,,,,False,852,86065
4,driver,Piastri,24.4,131,,,,False,852,86065
11,driver,Sainz,14.6,192,,1.0,,False,852,86065
26,team,Williams,13.2,90,,1.0,,False,852,86065
1,driver,Norris,28.6,155,,1.0,,False,852,84276
2,driver,Leclerc,27.2,144,,,,False,852,84276
3,driver,Hamilton,25.8,140,,,,False,852,84276
4,driver,Piastri,24.4,131,,,,False,852,84276
11,driver,Sainz,14.6,192,,1.0,,False,852,84276
26,team,Williams,13.2,90,,1.0,,False,852,84276
1,driver,Norris,28.6,155,,1.0,,False,852,83970
2,driver,Leclerc,27.2,144,,,,False,852,83970
3,driver,Hamilton,25.8,140,,,,False,852,83970
4,driver,Piastri,24.4,131,,,,False,852,83970
11,driver,Sainz,14.6,192,,1.0,,False,852,83970
26,team,Williams,13.2,90,,1.0,,False,852,83970
1,driver,Norris,28.6,155,,1.0,,False,852,82385
2,driver,Leclerc,27.2,144,,,,False,852,82385
3,driver,Hamilton,25.8,140,,,,False,852,82385
4,driver,Piastri,24.4,131,,,,False,852,82385
11,driver,Sainz,14.6,192,,1.0,,False,852,82385
26,team,Williams,13.2,90,,1.0,,False,852,82385
1,driver,Norris,28.6,155,,1.0,,False,852,82321
2,driver,Leclerc,27.2,144,,,,False,852,82321
3,driver,Hamilton,25.8,140,,,,False,852,82321
4,driver,Piastri,24.4,131,,,,False,852,82321
11,driver,Sainz,14.6,192,,1.0,,False,852,82321
26,team,Williams,13.2,90,,1.0,,False,852,82321
1,driver,Norris,28.6,155,,1.0,,False,852,81524
2,driver,Leclerc,27.2,144,,,,False,852,81524
3,driver,Hamilton,25.8,140,,,,False,852,81524
4,driver,Piastri,24.4,131,,,,False,852,81524
11,driver,Sainz,14.6,192,,1.0,,False,852,81524
26,team,Williams,13.2,90,,1.0,,False,852,81524
1,driver,Norris,28.6,155,,1.0,,False,852,81284
2,driver,Leclerc,27.2,144,,,,False,852,81284
3,driver,Hamilton,25.8,140,,,,False,852,81284
4,driver,Piastri,24.4,131,,,,False,852,81284
11,driver,Sainz,14.6,192,,1.0,,False,852,81284
26,team,Williams,13.2,90,,1.0,,False,852,81284
1,driver,Norris,28.6,155,,1.0,,False,852,80493
2,driver,Leclerc,27.2,144,,,,False,852,80493
3,driver,Hamilton,25.8,140,,,,False,852,80493
4,driver,Piastri,24.4,131,,,,False,852,80493
11,driver,Sainz,14.6,192,,1.0,,False,852,80493
26,team,Williams,13.2,90,,1.0,,False,852,80493
1,driver,Norris,28.6,155,,1.0,,False,852,80479
2,driver,Leclerc,27.2,144,,,,False,852,80479
3,driver,Hamilton,25.8,140,,,,False,852,80479
4,driver,Piastri,24.4,131,,,,False,852,80479
11,driver,Sainz,14.6,192,,1.0,,False,852,80479
26,team,Williams,13.2,90,,1.0,,False,852,80479
1,driver,Norris,28.6,155,,1.0,,False,852,80351
2,driver,Leclerc,27.2,144,,,,False,852,80351
3,driver,Hamilton,25.8,140,,,,False,852,80351
