,type,name,salary,score,contract,include,exclude,locked,points,i
26,team,Williams,13.2,90,,1.0,,False,852,9976
1,driver,Norris,28.6,155,,1.0,,False,852,9976
2,driver,Leclerc,27.2,144,,,,False,852,9976
3,driver,Hamilton,25.8,140,,,,False,852,9976
4,driver,Piastri,24.4,131,,,,False,852,9976
11,driver,Sainz,14.6,192,,1.0,,False,852,9976
26,team,Williams,13.2,90,,1.0,,False,852,9859
1,driver,Norris,28.6,155,,1.0,,False,852,9859
2,driver,Leclerc,27.2,144,,,,False,852,9859
3,driver,Hamilton,25.8,140,,,,False,852,9859
4,driver,Piastri,24.4,131,,,,False,852,9859
11,driver,Sainz,14.6,192,,1.0,,False,852,9859
26,team,Williams,13.2,90,,1.0,,False,852,9762
1,driver,Norris,28.6,155,,1.0,,False,852,9762
2,driver,Leclerc,27.2,144,,,,False,852,9762
3,driver,Hamilton,25.8,140,,,,False,852,9762
4,driver,Piastri,24.4,131,,,,False,852,9762
11,driver,Sainz,14.6,192,,1.0,,False,852,9762
26,team,Williams,13.2,90,,1.0,,False,852,8863
1,driver,Norris,28.6,155,,1.0,,False,852,8863
2,driver,Leclerc,27.2,144,,,,False,852,8863
3,driver,Hamilton,25.8,140,,,,False,852,8863
4,driver,Piastri,24.4,131,,,,False,852,8863
11,driver,Sainz,14.6,192,,1.0,,False,852,8863
26,team,Williams,13.2,90,,1.0,,False,852,8777
1,driver,Norris,28.6,155,,1.0,,False,852,8777
2,driver,Leclerc,27.2,144,,,,False,852,8777
3,driver,Hamilton,25.8,140,,,,False,852,8777
4,driver,Piastri,24.4,131,,,,False,852,8777
11,driver,Sainz,14.6,192,,1.0,,False,852,8777
26,team,Williams,13.2,90,,1.0,,False,852,7932
1,driver,Norris,28.6,155,,1.0,,False,852,7932
2,driver,Leclerc,27.2,144,,,,False,852,7932
3,driver,Hamilton,25.8,140,,,,False,852,7932
4,driver,Piastri,24.4,131,,,,False,852,7932
11,driver,Sainz,14.6,192,,1.0,,False,852,7932
26,team,Williams,13.2,90,,1.0,,False,852,7652
1,driver,Norris,28.6,155,,1.0,,False,852,7652
2,driver,Leclerc,27.2,144,,,,False,852,7652
3,driver,Hamilton,25.8,140,,,,False,852,7652
4,driver,Piastri,24.4,131,,,,False,852,7652
11,driver,Sainz,14.6,192,,1.0,,False,852,7652
26,team,Williams,13.2,90,,1.0,,False,852,7488
1,driver,Norris,28.6,155,,1.0,,False,852,7488
2,driver,Leclerc,27.2,144,,,,False,852,7488
3,driver,Hamilton,25.8,140,,,,False,852,7488
4,driver,Piastri,24.4,131,,,,False,852,7488
11,driver,Sainz,14.6,192,,1.0,,False,852,7488
26,team,Williams,13.2,90,,1.0,,False,852,7476
1,driver,Norris,28.6,155,,1.0,,False,852,7476
2,driver,Leclerc,27.2,144,,,,False,852,7476
3,driver,Hamilton,25.8,140,,,,False,852,7476
4,driver,Piastri,24.4,131,,,,False,852,7476
11,driver,Sainz,14.6,192,,1.0,,False,852,7476
26,team,Williams,13.2,90,,1.0,,False,852,7430
1,driver,Norris,28.6,155,,1.0,,False,852,7430
2,driver,Leclerc,27.2,144,,,,False,852,7430
3,driver,Hamilton,25.8,140,,,,False,852,7430
4,driver,Piastri,24.4,131,,,,False,852,7430
11,driver,Sainz,14.6,192,,1.0,,False,852,7430
26,team,Williams,13.2,90,,1.0,,False,852,7174
1,driver,Norris,28.6,155,,1.0,,False,852,7174
2,driver,Leclerc,27.2,144,,,,False,852,7174
3,driver,Hamilton,25.8,140,,,,False,852,7174
4,driver,Piastri,24.4,131,,,,False,852,7174
11,driver,Sainz,14.6,192,,1.0,,False,852,7174
26,team,Williams,13.2,90,,1.0,,False,852,6740
1,driver,Norris,28.6,155,,1.0,,False,852,6740
2,driver,Leclerc,27.2,144,,,,False,852,6740
3,driver,Hamilton,25.8,140,,,,False,852,6740
4,driver,Piastri,24.4,131,,,,False,852,6740
11,driver,Sainz,14.6,192,,1.0,,False,852,6740
26,team,Williams,13.2,90,,1.0,,False,852,5416
1,driver,Norris,28.6,155,,1.0,,False,852,5416
2,driver,Leclerc,27.2,144,,,,False,852,5416
3,driver,Hamilton,25.8,140,,,,False,852,5416
4,driver,Piastri,24.4,131,,,,False,852,5416
11,driver,Sainz,14.6,192,,1.0,,False,852,5416
26,team,Williams,13.2,90,,1.0,,False,852,5322
1,driver,Norris,28.6,155,,1.0,,False,852,5322
2,driver,Leclerc,27.2,144,,,,False,852,5322
3,driver,Hamilton,25.8,140,,,,False,852,5322
4,driver,Piastri,24.4,131,,,,False,852,5322
11,driver,Sainz,14.6,192,,1.0,,False,852,5322
26,team,Williams,13.2,90,,1.0,,False,852,4792
1,driver,Norris,28.6,155,,1.0,,False,852,4792
2,driver,Leclerc,27.2,144,,,,False,852,4792
3,driver,Hamilton,25.8,140,,,,False,852,4792
4,driver,Piastri,24.4,131,,,,False,852,4792
11,driver,Sainz,14.6,192,,1.0,,False,852,4792
26,team,Williams,13.2,90,,1.0,,False,852,4359
1,driver,Norris,28.6,155,,1.0,,False,852,4359
2,driver,Leclerc,27.2,144,,,,False,852,4359
3,driver,Hamilton,25.8,140,,,,False,852,4359
4,driver,Piastri,24.4,131,,,,False,852,4359
11,driver,Sainz,14.6,192,,1.0,,False,852,4359
26,team,Williams,13.2,90,,1.0,,False,852,3933
1,driver,Norris,28.6,155,,1.0,,False,852,3933
2,driver,Leclerc,27.2,144,,,,False,852,3933
3,driver,Hamilton,25.8,140,,,,False,852,3933
4,driver,Piastri,24.4,131,,,,False,852,3933
11,driver,Sainz,14.6,192,,1.0,,False,852,3933
26,team,Williams,13.2,90,,1.0,,False,852,2829
1,driver,Norris,28.6,155,,1.0,,False,852,2829
2,driver,Leclerc,27.2,144,,,,False,852,2829
3,driver,Hamilton,25.8,140,,,,False,852,2829
4,driver,Piastri,24.4,131,,,,False,852,2829
11,driver,Sainz,14.6,192,,1.0,,False,852,2829
26,team,Williams,13.2,90,,1.0,,False,852,2686
1,driver,Norris,28.6,155,,1.0,,False,852,2686
2,driver,Leclerc,27.2,144,,,,False,852,2686
3,driver,Hamilton,25.8,140,,,,False,852,2686
4,driver,Piastri,24.4,131,,,,False,852,2686
11,driver,Sainz,14.6,192,,1.0,,False,852,2686
26,team,Williams,13.2,90,,1.0,,False,852,1758
1,driver,Norris,28.6,155,,1.0,,False,852,1758
2,driver,Leclerc,27.2,144,,,,False,852,1758
3,driver,Hamilton,25.8,140,,,,False,852,1758
4,driver,Piastri,24.4,131,,,,False,852,1758
11,driver,Sainz,14.6,192,,1.0,,False,852,1758
26,team,Williams,13.2,90,,1.0,,False,852,1642
1,driver,Norris,28.6,155,,1.0,,False,852,1642
2,driver,Leclerc,27.2,144,,,,False,852,1642
3,driver,Hamilton,25.8,140,,,,False,852,1642
4,driver,Piastri,24.4,131,,,,False,852,1642
11,driver,Sainz,14.6,192,,1.0,,False,852,1642
26,team,Williams,13.2,90,,1.0,,False,852,1434
1,driver,Norris,28.6,155,,1.0,,False,852,1434
2,driver,Leclerc,27.2,144,,,,False,852,1434
3,driver,Hamilton,25.8,140,,,,False,852,1434
4,driver,Piastri,24.4,131,,,,False,852,1434
11,driver,Sainz,14.6,192,,1.0,,False,852,1434
26,team,Williams,13.2,90,,1.0,,False,852,1318
