,type,name,salary,score,contract,include,exclude,locked,points,i
1,driver,Norris,28.6,155,,1.0,,False,922,7768
2,driver,Leclerc,27.2,144,,,,False,922,7768
21,team,Ferrari,27.2,160,,,,False,922,7768
3,driver,Hamilton,25.8,140,,,,False,922,7768
4,driver,Piastri,24.4,131,,,,False,922,7768
11,driver,Sainz,14.6,192,,1.0,,False,922,7768
1,driver,Norris,28.6,155,,1.0,,False,922,7374
2,driver,Leclerc,27.2,144,,,,False,922,7374
21,team,Ferrari,27.2,160,,,,False,922,7374
3,driver,Hamilton,25.8,140,,,,False,922,7374
4,driver,Piastri,24.4,131,,,,False,922,7374
11,driver,Sainz,14.6,192,,1.0,,False,922,7374
1,driver,Norris,28.6,155,,1.0,,False,922,4636
2,driver,Leclerc,27.2,144,,,,False,922,4636
21,team,Ferrari,27.2,160,,,,False,922,4636
3,driver,Hamilton,25.8,140,,,,False,922,4636
4,driver,Piastri,24.4,131,,,,False,922,4636
11,driver,Sainz,14.6,192,,1.0,,False,922,4636
20,team,McLaren,30.0,160,,,,False,922,4333
1,driver,Norris,28.6,155,,1.0,,False,922,4333
2,driver,Leclerc,27.2,144,,,,False,922,4333
3,driver,Hamilton,25.8,140,,,,False,922,4333
4,driver,Piastri,24.4,131,,,,False,922,4333
11,driver,Sainz,14.6,192,,1.0,,False,922,4333
1,driver,Norris,28.6,155,,1.0,,False,922,1802
2,driver,Leclerc,27.2,144,,,,False,922,1802
21,team,Ferrari,27.2,160,,,,False,922,1802
3,driver,Hamilton,25.8,140,,,,False,922,1802
4,driver,Piastri,24.4,131,,,,False,922,1802
11,driver,Sainz,14.6,192,,1.0,,False,922,1802
20,team,McLaren,30.0,160,,,,False,920,5547
1,driver,Norris,28.6,155,,1.0,,False,920,5547
2,driver,Leclerc,27.2,144,,,,False,920,5547
3,driver,Hamilton,25.8,140,,,,False,920,5547
5,driver,Russell,23.0,129,,,,False,920,5547
11,driver,Sainz,14.6,192,,1.0,,False,920,5547
20,team,McLaren,30.0,160,,,,False,920,5265
1,driver,Norris,28.6,155,,1.0,,False,920,5265
2,driver,Leclerc,27.2,144,,,,False,920,5265
3,driver,Hamilton,25.8,140,,,,False,920,5265
5,driver,Russell,23.0,129,,,,False,920,5265
11,driver,Sainz,14.6,192,,1.0,,False,920,5265
1,driver,Norris,28.6,155,,1.0,,False,920,1658
2,driver,Leclerc,27.2,144,,,,False,920,1658
21,team,Ferrari,27.2,160,,,,False,920,1658
3,driver,Hamilton,25.8,140,,,,False,920,1658
5,driver,Russell,23.0,129,,,,False,920,1658
11,driver,Sainz,14.6,192,,1.0,,False,920,1658
1,driver,Norris,28.6,155,,1.0,,False,920,545
2,driver,Leclerc,27.2,144,,,,False,920,545
21,team,Ferrari,27.2,160,,,,False,920,545
3,driver,Hamilton,25.8,140,,,,False,920,545
5,driver,Russell,23.0,129,,,,False,920,545
11,driver,Sainz,14.6,192,,1.0,,False,920,545
1,driver,Norris,28.6,155,,1.0,,False,920,93
2,driver,Leclerc,27.2,144,,,,False,920,93
21,team,Ferrari,27.2,160,,,,False,920,93
3,driver,Hamilton,25.8,140,,,,False,920,93
5,driver,Russell,23.0,129,,,,False,920,93
11,driver,Sainz,14.6,192,,1.0,,False,920,93
1,driver,Norris,28.6,155,,1.0,,False,911,9746
2,driver,Leclerc,27.2,144,,,,False,911,9746
