,type,name,salary,score,contract,include,exclude,locked,points,i
26,team,Williams,13.2,90,,1.0,,False,852,9566
1,driver,Norris,28.6,155,,1.0,,False,852,9566
2,driver,Leclerc,27.2,144,,,,False,852,9566
3,driver,Hamilton,25.8,140,,,,False,852,9566
4,driver,Piastri,24.4,131,,,,False,852,9566
11,driver,Sainz,14.6,192,,1.0,,False,852,9566
26,team,Williams,13.2,90,,1.0,,False,852,9565
1,driver,Norris,28.6,155,,1.0,,False,852,9565
2,driver,Leclerc,27.2,144,,,,False,852,9565
3,driver,Hamilton,25.8,140,,,,False,852,9565
4,driver,Piastri,24.4,131,,,,False,852,9565
11,driver,Sainz,14.6,192,,1.0,,False,852,9565
26,team,Williams,13.2,90,,1.0,,False,852,8074
1,driver,Norris,28.6,155,,1.0,,False,852,8074
2,driver,Leclerc,27.2,144,,,,False,852,8074
3,driver,Hamilton,25.8,140,,,,False,852,8074
4,driver,Piastri,24.4,131,,,,False,852,8074
11,driver,Sainz,14.6,192,,1.0,,False,852,8074
26,team,Williams,13.2,90,,1.0,,False,852,7597
1,driver,Norris,28.6,155,,1.0,,False,852,7597
2,driver,Leclerc,27.2,144,,,,False,852,7597
3,driver,Hamilton,25.8,140,,,,False,852,7597
4,driver,Piastri,24.4,131,,,,False,852,7597
11,driver,Sainz,14.6,192,,1.0,,False,852,7597
26,team,Williams,13.2,90,,1.0,,False,852,7350
1,driver,Norris,28.6,155,,1.0,,False,852,7350
2,driver,Leclerc,27.2,144,,,,False,852,7350
3,driver,Hamilton,25.8,140,,,,False,852,7350
4,driver,Piastri,24.4,131,,,,False,852,7350
11,driver,Sainz,14.6,192,,1.0,,False,852,7350
26,team,Williams,13.2,90,,1.0,,False,852,7243
1,driver,Norris,28.6,155,,1.0,,False,852,7243
2,driver,Leclerc,27.2,144,,,,False,852,7243
3,driver,Hamilton,25.8,140,,,,False,852,7243
4,driver,Piastri,24.4,131,,,,False,852,7243
11,driver,Sainz,14.6,192,,1.0,,False,852,7243
26,team,Williams,13.2,90,,1.0,,False,852,6869
1,driver,Norris,28.6,155,,1.0,,False,852,6869
2,driver,Leclerc,27.2,144,,,,False,852,6869
3,driver,Hamilton,25.8,140,,,,False,852,6869
4,driver,Piastri,24.4,131,,,,False,852,6869
11,driver,Sainz,14.6,192,,1.0,,False,852,6869
