,type,name,salary,score,contract,include,exclude,locked,points,i
26,team,Williams,13.2,90,,1.0,,False,852,99806
1,driver,Norris,28.6,155,,1.0,,False,852,99806
2,driver,Leclerc,27.2,144,,,,False,852,99806
3,driver,Hamilton,25.8,140,,,,False,852,99806
4,driver,Piastri,24.4,131,,,,False,852,99806
11,driver,Sainz,14.6,192,,1.0,,False,852,99806
26,team,Williams,13.2,90,,1.0,,False,852,99221
1,driver,Norris,28.6,155,,1.0,,False,852,99221
2,driver,Leclerc,27.2,144,,,,False,852,99221
3,driver,Hamilton,25.8,140,,,,False,852,99221
4,driver,Piastri,24.4,131,,,,False,852,99221
11,driver,Sainz,14.6,192,,1.0,,False,852,99221
26,team,Williams,13.2,90,,1.0,,False,852,98952
1,driver,Norris,28.6,155,,1.0,,False,852,98952
2,driver,Leclerc,27.2,144,,,,False,852,98952
3,driver,Hamilton,25.8,140,,,,False,852,98952
4,driver,Piastri,24.4,131,,,,False,852,98952
11,driver,Sainz,14.6,192,,1.0,,False,852,98952
26,team,Williams,13.2,90,,1.0,,False,852,97403
1,driver,Norris,28.6,155,,1.0,,False,852,97403
2,driver,Leclerc,27.2,144,,,,False,852,97403
3,driver,Hamilton,25.8,140,,,,False,852,97403
4,driver,Piastri,24.4,131,,,,False,852,97403
11,driver,Sainz,14.6,192,,1.0,,False,852,97403
26,team,Williams,13.2,90,,1.0,,False,852,96888
1,driver,Norris,28.6,155,,1.0,,False,852,96888
2,driver,Leclerc,27.2,144,,,,False,852,96888
3,driver,Hamilton,25.8,140,,,,False,852,96888
4,driver,Piastri,24.4,131,,,,False,852,96888
11,driver,Sainz,14.6,192,,1.0,,False,852,96888
26,team,Williams,13.2,90,,1.0,,False,852,96554
1,driver,Norris,28.6,155,,1.0,,False,852,96554
2,driver,Leclerc,27.2,144,,,,False,852,96554
3,driver,Hamilton,25.8,140,,,,False,852,96554
4,driver,Piastri,24.4,131,,,,False,852,96554
11,driver,Sainz,14.6,192,,1.0,,False,852,96554
26,team,Williams,13.2,90,,1.0,,False,852,95321
1,driver,Norris,28.6,155,,1.0,,False,852,95321
2,driver,Leclerc,27.2,144,,,,False,852,95321
3,driver,Hamilton,25.8,140,,,,False,852,95321
4,driver,Piastri,24.4,131,,,,False,852,95321
11,driver,Sainz,14.6,192,,1.0,,False,852,95321
26,team,Williams,13.2,90,,1.0,,False,852,94400
1,driver,Norris,28.6,155,,1.0,,False,852,94400
2,driver,Leclerc,27.2,144,,,,False,852,94400
3,driver,Hamilton,25.8,140,,,,False,852,94400
4,driver,Piastri,24.4,131,,,,False,852,94400
11,driver,Sainz,14.6,192,,1.0,,False,852,94400
26,team,Williams,13.2,90,,1.0,,False,852,94037
1,driver,Norris,28.6,155,,1.0,,False,852,94037
2,driver,Leclerc,27.2,144,,,,False,852,94037
3,driver,Hamilton,25.8,140,,,,False,852,94037
4,driver,Piastri,24.4,131,,,,False,852,94037
11,driver,Sainz,14.6,192,,1.0,,False,852,94037
26,team,Williams,13.2,90,,1.0,,False,852,93991
1,driver,Norris,28.6,155,,1.0,,False,852,93991
2,driver,Leclerc,27.2,144,,,,False,852,93991
3,driver,Hamilton,25.8,140,,,,False,852,93991
4,driver,Piastri,24.4,131,,,,False,852,93991
11,driver,Sainz,14.6,192,,1.0,,False,852,93991
26,team,Williams,13.2,90,,1.0,,False,852,93822
1,driver,Norris,28.6,155,,1.0,,False,852,93822
2,driver,Leclerc,27.2,144,,,,False,852,93822
3,driver,Hamilton,25.8,140,,,,False,852,93822
4,driver,Piastri,24.4,131,,,,False,852,93822
11,driver,Sainz,14.6,192,,1.0,,False,852,93822
26,team,Williams,13.2,90,,1.0,,False,852,92433
1,driver,Norris,28.6,155,,1.0,,False,852,92433
2,driver,Leclerc,27.2,144,,,,False,852,92433
3,driver,Hamilton,25.8,140,,,,False,852,92433
4,driver,Piastri,24.4,131,,,,False,852,92433
11,driver,Sainz,14.6,192,,1.0,,False,852,92433
26,team,Williams,13.2,90,,1.0,,False,852,89990
1,driver,Norris,28.6,155,,1.0,,False,852,89990
2,driver,Leclerc,27.2,144,,,,False,852,89990
3,driver,Hamilton,25.8,140,,,,False,852,89990
4,driver,Piastri,24.4,131,,,,False,852,89990
11,driver,Sainz,14.6,192,,1.0,,False,852,89990
26,team,Williams,13.2,90,,1.0,,False,852,89774
1,driver,Norris,28.6,155,,1.0,,False,852,89774
2,driver,Leclerc,27.2,144,,,,False,852,89774
3,driver,Hamilton,25.8,140,,,,False,852,89774
4,driver,Piastri,24.4,131,,,,False,852,89774
11,driver,Sainz,14.6,192,,1.0,,False,852,89774
26,team,Williams,13.2,90,,1.0,,False,852,89520
1,driver,Norris,28.6,155,,1.0,,False,852,89520
2,driver,Leclerc,27.2,144,,,,False,852,89520
3,driver,Hamilton,25.8,140,,,,False,852,89520
4,driver,Piastri,24.4,131,,,,False,852,89520
11,driver,Sainz,14.6,192,,1.0,,False,852,89520
26,team,Williams,13.2,90,,1.0,,False,852,87440
1,driver,Norris,28.6,155,,1.0,,False,852,87440
2,driver,Leclerc,27.2,144,,,,False,852,87440
3,driver,Hamilton,25.8,140,,,,False,852,87440
4,driver,Piastri,24.4,131,,,,False,852,87440
11,driver,Sainz,14.6,192,,1.0,,False,852,87440
26,team,Williams,13.2,90,,1.0,,False,852,86015
1,driver,Norris,28.6,155,,1.0,,False,852,86015
2,driver,Leclerc,27.2,144,,,,False,852,86015
3,driver,Hamilton,25.8,140,,,,False,852,86015
4,driver,Piastri,24.4,131,,,,False,852,86015
11,driver,Sainz,14.6,192,,1.0,,False,852,86015
26,team,Williams,13.2,90,,1.0,,False,852,85320
1,driver,Norris,28.6,155,,1.0,,False,852,85320
2,driver,Leclerc,27.2,144,,,,False,852,85320
3,driver,Hamilton,25.8,140,,,,False,852,85320
4,driver,Piastri,24.4,131,,,,False,852,85320
11,driver,Sainz,14.6,192,,1.0,,False,852,85320
26,team,Williams,13.2,90,,1.0,,False,852,85039
1,driver,Norris,28.6,155,,1.0,,False,852,85039
2,driver,Leclerc,27.2,144,,,,False,852,85039
3,driver,Hamilton,25.8,140,,,,False,852,85039
4,driver,Piastri,24.4,131,,,,False,852,85039
11,driver,Sainz,14.6,192,,1.0,,False,852,85039
26,team,Williams,13.2,90,,1.0,,False,852,84726
1,driver,Norris,28.6,155,,1.0,,False,852,84726
2,driver,Leclerc,27.2,144,,,,False,852,84726
3,driver,Hamilton,25.8,140,,,,False,852,84726
4,driver,Piastri,24.4,131,,,,False,852,84726
11,driver,Sainz,14.6,192,,1.0,,False,852,84726
26,team,Williams,13.2,90,,1.0,,False,852,83620
1,driver,Norris,28.6,155,,1.0,,False,852,83620
2,driver,Leclerc,27.2,144,,,,False,852,83620
3,driver,Hamilton,25.8,140,,,,False,852,83620
4,driver,Piastri,24.4,131,,,,False,852,83620
11,driver,Sainz,14.6,192,,1.0,,False,852,83620
26,team,Williams,13.2,90,,1.0,,False,852,83528
1,driver,Norris,28.6,155,,1.0,,False,852,83528
2,driver,Leclerc,27.2,144,,,,False,852,83528
3,driver,Hamilton,25.8,140,,,,False,852,83528
4,driver,Piastri,24.4,131,,,,False,852,83528
11,driver,Sainz,14.6,192,,1.0,,False,852,83528
26,team,Williams,13.2,90,,1.0,,False,852,83403
1,driver,Norris,28.6,155,,1.0,,False,852,83403
2,driver,Leclerc,27.2,144,,,,False,852,83403
3,driver,Hamilton,25.8,140,,,,False,852,83403
4,driver,Piastri,24.4,131,,,,False,852,83403
11,driver,Sainz,14.6,192,,1.0,,False,852,83403
26,team,Williams,13.2,90,,1.0,,False,852,83311
1,driver,Norris,28.6,155,,1.0,,False,852,83311
2,driver,Leclerc,27.2,144,,,,False,852,83311
3,driver,Hamilton,25.8,140,,,,False,852,83311
4,driver,Piastri,24.4,131,,,,False,852,83311
11,driver,Sainz,14.6,192,,1.0,,False,852,83311
26,team,Williams,13.2,90,,1.0,,False,852,81378
1,driver,Norris,28.6,155,,1.0,,False,852,81378
2,driver,Leclerc,27.2,144,,,,False,852,81378
3,driver,Hamilton,25.8,140,,,,False,852,81378
4,driver,Piastri,24.4,131,,,,False,852,81378
11,driver,Sainz,14.6,192,,1.0,,False,852,81378
26,team,Williams,13.2,90,,1.0,,False,852,81365
1,driver,Norris,28.6,155,,1.0,,False,852,81365
2,driver,Leclerc,27.2,144,,,,False,852,81365
3,driver,Hamilton,25.8,140,,,,False,852,81365
4,driver,Piastri,24.4,131,,,,False,852,81365
11,driver,Sainz,14.6,192,,1.0,,False,852,81365
26,team,Williams,13.2,90,,1.0,,False,852,80168
1,driver,Norris,28.6,155,,1.0,,False,852,80168
2,driver,Leclerc,27.2,144,,,,False,852,80168
3,driver,Hamilton,25.8,140,,,,False,852,80168
4,driver,Piastri,24.4,131,,,,False,852,80168
11,driver,Sainz,14.6,192,,1.0,,False,852,80168
26,team,Williams,13.2,90,,1.0,,False,852,80113
1,driver,Norris,28.6,155,,1.0,,False,852,80113
2,driver,Leclerc,27.2,144,,,,False,852,80113
3,driver,Hamilton,25.8,140,,,,False,852,80113
4,driver,Piastri,24.4,131,,,,False,852,80113
11,driver,Sainz,14.6,192,,1.0,,False,852,80113
26,team,Williams,13.2,90,,1.0,,False,852,79060
1,driver,Norris,28.6,155,,1.0,,False,852,79060
2,driver,Leclerc,27.2,144,,,,False,852,79060
3,driver,Hamilton,25.8,140,,,,False,852,79060
4,driver,Piastri,24.4,131,,,,False,852,79060
11,driver,Sainz,14.6,192,,1.0,,False,852,79060
26,team,Williams,13.2,90,,1.0,,False,852,78484
1,driver,Norris,28.6,155,,1.0,,False,852,78484
2,driver,Leclerc,27.2,144,,,,False,852,78484
3,driver,Hamilton,25.8,140,,,,False,852,78484
4,driver,Piastri,24.4,131,,,,False,852,78484
11,driver,Sainz,14.6,192,,1.0,,False,852,78484
26,team,Williams,13.2,90,,1.0,,False,852,78414
1,driver,Norris,28.6,155,,1.0,,False,852,78414
2,driver,Leclerc,27.2,144,,,,False,852,78414
3,driver,Hamilton,25.8,140,,,,False,852,78414
4,driver,Piastri,24.4,131,,,,False,852,78414
11,driver,Sainz,14.6,192,,1.0,,False,852,78414
26,team,Williams,13.2,90,,1.0,,False,852,78355
1,driver,Norris,28.6,155,,1.0,,False,852,78355
2,driver,Leclerc,27.2,144,,,,False,852,78355
